0,movieId
Adventure,1
Animation,1
Children,1
Comedy,1
Fantasy,1
Adventure,2
Children,2
Fantasy,2
Comedy,3
Romance,3
Comedy,4
Drama,4
Romance,4
Comedy,5
Action,6
Crime,6
Thriller,6
Comedy,7
Romance,7
Adventure,8
Children,8
Action,9
Action,10
Adventure,10
Thriller,10
Comedy,11
Drama,11
Romance,11
Comedy,12
Horror,12
Adventure,13
Animation,13
Children,13
Drama,14
Action,15
Adventure,15
Romance,15
Crime,16
Drama,16
Drama,17
Romance,17
Comedy,18
Comedy,19
Action,20
Comedy,20
Crime,20
Drama,20
Thriller,20
Comedy,21
Crime,21
Thriller,21
Crime,22
Drama,22
Horror,22
Mystery,22
Thriller,22
Action,23
Crime,23
Thriller,23
Drama,24
Sci-Fi,24
Drama,25
Romance,25
Drama,26
Children,27
Drama,27
Drama,28
Romance,28
Adventure,29
Drama,29
Fantasy,29
Mystery,29
Sci-Fi,29
Crime,30
Drama,30
Drama,31
Mystery,32
Sci-Fi,32
Thriller,32
Children,34
Drama,34
Crime,36
Drama,36
Children,38
Comedy,38
Comedy,39
Romance,39
Drama,40
Drama,41
War,41
Action,42
Crime,42
Drama,42
Drama,43
Action,44
Adventure,44
Fantasy,44
Comedy,45
Drama,45
Thriller,45
Drama,46
Romance,46
Mystery,47
Thriller,47
Animation,48
Children,48
Drama,48
Musical,48
Romance,48
Drama,49
Romance,49
Crime,50
Mystery,50
Thriller,50
Comedy,52
Drama,52
Romance,52
Adventure,53
Drama,53
Children,54
Comedy,54
Drama,55
Drama,57
Comedy,58
Drama,58
Romance,58
Adventure,60
Children,60
Fantasy,60
Drama,61
Thriller,61
Drama,62
Comedy,63
Crime,63
Comedy,64
Romance,64
Comedy,65
Action,66
Sci-Fi,66
Thriller,66
Comedy,68
Romance,68
Comedy,69
Action,70
Comedy,70
Horror,70
Thriller,70
Action,71
Comedy,72
Drama,72
Drama,73
War,73
Drama,74
Romance,74
Comedy,75
Drama,75
Action,76
Sci-Fi,76
Thriller,76
Documentary,77
Action,78
Crime,78
Drama,78
Thriller,78
Drama,79
Thriller,79
Children,80
Drama,80
Crime,81
Drama,81
Romance,81
Comedy,82
Drama,82
Drama,83
Romance,83
Drama,85
Romance,85
Action,86
Adventure,86
Drama,86
Children,87
Comedy,87
Comedy,88
Action,89
Thriller,89
Drama,92
Horror,92
Thriller,92
Comedy,93
Horror,93
Romance,93
Comedy,94
Drama,94
Romance,94
Action,95
Adventure,95
Thriller,95
Comedy,96
Drama,96
Crime,97
Drama,97
Documentary,99
Drama,100
Thriller,100
Adventure,101
Comedy,101
Crime,101
Romance,101
Comedy,102
Mystery,103
Sci-Fi,103
Thriller,103
Comedy,104
Drama,105
Romance,105
Comedy,106
Drama,106
Adventure,107
Children,107
Comedy,107
Musical,107
Documentary,108
Action,110
Drama,110
War,110
Crime,111
Drama,111
Thriller,111
Action,112
Adventure,112
Comedy,112
Crime,112
Drama,113
Mystery,113
Documentary,116
Crime,117
Drama,117
Comedy,118
Romance,118
Comedy,119
Drama,121
Comedy,122
Romance,122
Drama,123
Mystery,123
Romance,123
Comedy,125
Adventure,126
Children,126
Fantasy,126
Documentary,128
Comedy,129
Romance,129
Thriller,132
Comedy,135
Documentary,137
Drama,140
Romance,140
Comedy,141
Comedy,144
Action,145
Comedy,145
Crime,145
Drama,145
Thriller,145
Adventure,146
Children,146
Drama,147
Drama,148
Crime,149
Drama,149
Thriller,149
Adventure,150
Drama,150
IMAX,150
Action,151
Drama,151
Romance,151
War,151
Drama,152
Horror,152
Action,153
Adventure,153
Comedy,153
Crime,153
Drama,154
Adventure,155
Drama,155
War,155
